,name,year,seller_type,owner,km_driven,ex_showroom_price
12880,240,2012,1,1,37980,93025.75
14868,131,2012,1,2,51474,112127.0
14280,147,1998,1,2,128644,93025.75
5318,181,1991,0,3,141473,56626.0
15421,126,2008,0,3,50822,89553.0
28136,154,2012,0,1,350,93025.75
27264,213,2007,1,1,350,119276.0
7260,25,2006,0,2,350,112653.0
23032,54,2010,1,0,14305,93025.75
27827,173,2006,0,2,42461,56997.0
11631,221,2017,1,1,20436,123281.0
6196,234,2005,0,3,4359,93025.75
23421,128,2004,0,2,102556,93025.75
25476,221,2013,1,0,350,103777.0
29415,38,2013,0,2,350,93095.0
5253,143,1993,1,1,75879,49651.0
22073,132,2005,0,3,350,106573.0
13996,241,2007,0,3,53586,30490.0
7239,217,2019,0,2,350,161210.0
24193,141,1997,1,0,57607,93025.75
10166,215,1998,0,2,72466,30490.0
16850,219,1996,1,0,34379,68073.0
12223,201,2012,0,0,350,144000.0
27733,78,1997,1,1,101727,69493.0
1098,99,1993,0,2,43995,93025.75
28728,111,2020,1,0,350,114106.0
12905,38,2019,0,0,31274,131855.0
26570,154,2008,0,1,76477,69236.0
21962,201,2013,1,1,1461,67981.0
15590,82,1999,1,2,73323,157182.0
7156,95,1992,1,1,350,93025.75
9397,9,2010,1,1,19471,137602.0
2696,134,1995,1,1,350,93025.75
19897,9,2007,0,2,64877,64478.0
26413,104,1998,1,2,350,93025.75
22988,44,1991,1,2,82144,118793.0
29255,108,1991,1,1,46753,77142.0
25550,68,2018,1,0,13586,131274.0
28295,80,2014,0,0,3783,84555.0
15429,265,2007,0,3,46429,93025.75
2275,38,1999,0,2,350,93025.75
4140,94,2013,0,3,37719,93025.75
2188,41,1999,1,0,117277,93025.75
1088,238,2018,1,0,30984,120623.0
25312,132,1998,1,1,55086,30490.0
28139,65,2003,1,0,350,154929.0
8434,249,2009,1,0,350,110981.0
21599,50,2012,0,2,350,93025.75
4355,186,2010,1,0,23866,61027.0
10309,140,2012,1,2,36278,135110.0
29374,251,2003,1,0,41318,68546.0
27676,199,2016,0,3,28837,93025.75
25874,128,2015,1,2,350,177473.0
24691,158,1997,1,1,84199,41696.0
13998,98,1998,1,0,115413,93025.75
19979,165,2017,0,2,21011,75618.0
26204,250,2009,0,1,50687,69826.0
20268,228,2015,0,1,350,171303.0
192,136,2016,1,1,350,93025.75
15652,183,2001,0,1,350,32841.0
29302,105,2000,0,2,73054,85429.0
14002,9,1994,1,0,350,84128.0
24266,245,2017,1,0,350,200298.0
29727,66,2005,0,1,60626,122908.0
1423,122,2003,1,0,25105,87065.0
2107,241,1993,1,0,26140,93025.75
23331,88,2015,0,1,21743,48509.0
20465,265,2006,0,3,13288,109165.0
2923,163,2003,1,0,350,120866.0
6146,161,2001,0,2,350,112152.0
28952,99,1990,0,3,350,48778.0
4991,185,2019,1,0,350,100426.0
959,162,2000,1,2,350,30490.0
20784,205,1992,0,2,120671,37164.0
1247,132,2011,0,2,350,93025.75
18400,149,1995,0,0,5093,242646.0
9947,183,1998,1,1,78366,83724.0
28246,25,2017,0,0,9031,105895.0
3970,71,2011,0,1,40148,30490.0
24281,264,1989,1,0,52514,93025.75
15260,15,2013,1,0,350,93025.75
13428,91,2017,1,0,29638,30490.0
7834,270,1991,0,2,79203,183031.0
16403,81,1989,1,0,164222,93025.75
22759,144,2016,0,1,350,40127.0
26062,72,1996,0,2,10397,30490.0
2308,104,2013,0,2,7162,93025.75
24167,102,1988,1,2,37164,93025.75
27577,278,2018,1,0,350,30490.0
5022,131,2015,0,1,41354,47224.0
24898,81,2009,1,2,350,95269.0
5527,233,2003,0,2,35398,93025.75
2901,142,2003,1,0,90118,63667.0
24904,153,2002,0,2,92435,93025.75
8687,87,2014,1,1,50241,93025.75
21463,26,1994,1,0,68703,60463.0
1239,71,2011,1,2,48989,93025.75
10464,119,2014,1,2,35599,133057.0
29103,199,2006,0,2,9483,93025.75
29094,46,2006,0,1,42416,30490.0
3960,179,2009,0,1,350,30490.0
26987,58,1993,1,0,81624,155605.0
7161,118,2004,0,3,350,163241.0
7986,101,1990,0,2,26043,112995.0
25108,195,1992,1,2,350,40858.0
8488,125,2006,1,2,350,93025.75
25903,141,2006,0,1,350,93025.75
166,80,2015,0,3,24370,93025.75
6683,264,1997,1,0,350,93434.0
11307,84,2007,1,0,14323,93025.75
20031,242,2010,0,0,23946,93025.75
9203,61,2004,1,1,350,30490.0
477,230,1999,1,0,38976,47732.0
832,9,2014,0,2,89632,68962.0
28682,84,1992,1,0,62555,107113.0
23752,70,2010,1,1,77473,93025.75
4066,98,2001,0,3,71160,93025.75
9327,221,1995,0,2,130905,93025.75
5823,270,2013,1,1,46754,32759.0
342,156,1994,1,0,48998,138399.0
9368,257,2001,1,1,46155,69640.0
9765,243,2006,0,0,132831,93025.75
4857,97,1991,1,1,350,93025.75
19177,136,2002,1,2,73617,93025.75
2230,94,2007,1,1,51702,93025.75
26130,17,2008,1,0,47975,197128.0
22239,228,1989,0,2,71852,81229.0
29208,278,2016,1,1,31407,188182.0
18466,66,1997,1,0,54017,46992.0
9341,178,2015,1,1,350,93025.75
2011,187,1990,1,1,59405,93025.75
13755,44,2002,1,0,28108,33556.0
15449,60,1991,1,1,350,130371.0
17694,210,2007,1,1,86418,175835.0
27613,81,2002,0,2,11065,123409.0
14358,275,2000,0,0,97861,95834.0
13170,157,1994,1,1,350,30490.0
3239,58,2015,1,1,350,93025.75
23922,259,2008,0,2,89743,93025.75
16686,150,2016,1,0,20533,169738.0
4329,267,2004,1,1,113378,43991.0
20405,226,1988,1,0,93298,93025.75
19136,26,2008,1,0,26074,93025.75
14647,145,2013,1,0,34472,206079.0
19135,225,1989,0,1,350,93025.75
16835,9,1991,0,3,123874,93025.75
11035,30,1988,1,0,350,30490.0
10393,247,2002,0,3,49716,150801.0
5031,249,1998,1,0,350,93025.75
23676,138,1989,0,1,163742,93025.75
25622,150,1989,1,3,2395,93025.75
5904,178,2010,0,2,12760,93025.75
15536,62,2005,0,1,350,93025.75
7757,133,2015,0,2,350,165272.0
11026,18,1989,1,2,94766,43269.0
17929,1,1998,1,0,27425,93025.75
