,selling_price
12880,88828
14868,39893
14280,37004
5318,5000
15421,87574
28136,59485
27264,92469
7260,123763
23032,66443
27827,78260
11631,154643
6196,76934
23421,5000
25476,69655
29415,72312
5253,7364
22073,56861
13996,5000
7239,254369
24193,5000
10166,5000
16850,5000
12223,89787
27733,32961
1098,52828
28728,182970
12905,146305
26570,63889
21962,97435
15590,87245
7156,59085
9397,147427
2696,51482
19897,14964
26413,112282
22988,62164
29255,5000
25550,125425
28295,102325
15429,60716
2275,108282
4140,20787
2188,69924
1088,104561
25312,5000
28139,89613
8434,75185
21599,121697
4355,76244
10309,117646
29374,13359
27676,71019
25874,202797
24691,60019
13998,5000
19979,115886
26204,30312
20268,149424
192,118427
15652,9372
29302,39503
14002,29405
24266,170575
29727,91596
1423,42092
2107,5000
23331,74290
20465,125630
2923,62454
6146,62982
28952,5000
4991,123886
959,26692
20784,5000
1247,59533
18400,98876
9947,32969
28246,126052
3970,38476
24281,5000
15260,165893
13428,64200
7834,38788
16403,5000
22759,92586
26062,5000
2308,114439
24167,5000
27577,23458
5022,66783
24898,120253
5527,87400
2901,5000
24904,5296
8687,110934
21463,5000
1239,48534
10464,121905
29103,5000
29094,46217
3960,20930
26987,82969
7161,75603
7986,54804
25108,40436
8488,109844
25903,122795
166,135892
6683,23792
11307,13033
20031,44001
9203,51956
477,15334
832,49595
28682,73643
23752,112963
4066,30467
9327,15749
5823,8901
342,91384
9368,50330
9765,45113
4857,7129
19177,40301
2230,111922
26130,201773
22239,68928
29208,81752
18466,9632
9341,89539
2011,8678
13755,47213
15449,98171
17694,108976
27613,130022
14358,5000
13170,5000
3239,41320
23922,5000
16686,144048
4329,5000
20405,5000
19136,92193
14647,185502
19135,35623
16835,5000
11035,5000
10393,102676
5031,5000
23676,5000
25622,58190
5904,52568
15536,107068
7757,155734
11026,5000
17929,81317
20140,163543
26322,63313
20349,5000
18874,5000
22808,137534
12048,19480
3972,5000
15348,31762
2033,127742
27551,129964
1013,46724
7280,84404
21264,5485
18836,5000
16175,67484
5218,137625
4823,34428
25661,103193
25236,5000
21054,25521
25488,59286
619,178909
27996,14536
24221,37917
16319,42662
8124,5000
1592,39100
26280,12148
19709,5000
21974,103927
13915,102681
19795,82444
2489,96221
21783,98303
28197,82579
28763,5000
3718,5000
20187,5000
11285,123010
2520,5000
6193,110737
16227,49553
11422,55730
18040,60640
11726,102800
9587,21639
13531,5000
18644,5000
20543,48992
22634,68331
841,125960
20339,23964
11879,32030
4507,90324
4484,5000
14673,62193
15841,44525
8738,5000
7543,66345
26209,14413
1593,5000
27088,119580
5203,74177
15076,20711
20511,75319
20288,47985
3023,113301
26279,120121
5169,5000
23683,5000
19576,31083
6321,52223
20958,39305
4103,77012
23319,45774
17478,136541
15282,33160
221,24092
17008,70999
24312,36115
3002,110709
13935,20939
29668,21797
21188,34441
22821,5000
1992,14053
8071,46776
14573,33384
